,sentences,meteor,bleu-4,bleu-1,bleu-2,bleu-3
16,The next CaptureDevice starts at 10 seconds......,0.0,0.2477163220852086,0.7193857493857495,0.3669250645994832,0.22015037593984962
17,Yes AudioFeature which a shap value of -0.2293 was used to detect the sample as PhysicalAccess was detected by CNN......,0.8511059213480054,0.8511846999972745,0.9838735177865614,0.9614035087719298,0.9418600768074803
18,the audio sample was used in a ClassificationAlgorithm Abstract tasked at detecting speaker id determined to be 4......,0.5691755316766549,0.5597914745959424,0.8267640010725064,0.7217244820378126,0.6383707372921937
19,Yes AudioFeature which a shap value of -0.8814 was used to detect the id of speaker 5 for the audio sample......,0.47877113577894875,0.5198678761231414,0.9638009049773757,0.8581796897863623,0.7441212121212122
20,Yes AudioFeature which a shap value of -0.643 was used to detect the sample as PhysicalAccess was detected by CNN......,0.7072343714495462,0.7295138174795601,0.8973383317713214,0.8454231433506045,0.808628144654088
21,It seems like a computer was used......,0.3354648482114032,0.32125224696430266,0.6182679198789279,0.4023443223443223,0.29114033433886377
22,Yes AudioFeature which a shap value of 0.8955 was used to detect the sample as PhysicalAccess was detected by CNN......,0.825964945946416,0.8674493176187358,0.9064617083946981,0.8751528730803342,0.856003787878788
23,Yes AudioFeature which a shap value of 0.4439 was used to detect the sample as Audiosignal......,0.7120418778939461,0.7472758236749731,0.9424836601307188,0.8378529885782356,0.7863120012517603
24,Yes AudioFeature which a shap value of 0.6978 was used to detect the id of speaker 1 for the audio sample......,0.5702445570756177,0.6021870721102711,0.8876599870717519,0.8094121072812733,0.7384415584415585
25,Yes AudioFeature which a shap value of 0.3949 was used to detect the id of speaker 5 for the audio sample......,0.47877113577894875,0.5198678761231414,0.9638009049773757,0.8581796897863623,0.7441212121212122
26,Yes AudioFeature which a shap value of 0 was used to detect the id of speaker 1 for the audio sample......,0.6966152954578468,0.7102942861502787,0.9755102459016394,0.9197258297258297,0.8588667834547706
27,The audio is synthetic......,0.11172901921132457,0.04377675829374839,0.38347712418300656,0.1587977736549165,0.05273690871697516
28,Yes AudioFeature which a shap value of -0.3826 was used to detect the id of speaker 4 for the audio sample......,0.5518478999843224,0.5800553961575573,0.9676396394168346,0.8837694643664793,0.7912090807742981
29,The audio appears to be a copy.....,0.22431771915687687,0.20557648907042658,0.559232067867071,0.2745054945054945,0.16515651357675357
30,No this audio is fake......,0.11512059369202228,0.24043380425629426,0.4924458977416009,0.3257051282051282,0.25573637825791007
31,Yes person 3 was detected by AudioFeature with a shap value of -0.8167......,0.630587992843193,0.6745801839905035,0.8484311397557667,0.7252678253444732,0.6429371867853841
32,shap determined that the AudioFeature feature was one of the more important features by assigning it a value of 0......,0.41308832320971867,0.5177225056505903,0.7274396829961973,0.5705787085566184,0.4644225879834069
33,Yes AudioFeature which a shap value of -0.7388 was used to detect the sample as PhysicalAccess was detected by CNN......,0.9405014204873693,0.7595136373732007,0.7608593048608439,0.7599688849847708,0.7590712636956171
34,Yes voice cloning was used......,0.19074292452830188,0.34444702086356777,0.6129642287537024,0.38477814882380956,0.2775558312655087
35,Features in the recording show there were two microphones used......,0.2517707482993197,0.3668152237990977,0.8582122080565255,0.6160489993098689,0.41675070028011196
36,Yes person 5 was detected by AudioFeature with a shap value of -0.9913......,0.839438530798953,0.8281953475530971,0.9191176470588236,0.8967975655702073,0.8680142602495543
37,Yes person 1 was detected by AudioFeature with a shap value of -0.2638......,0.7685774309345044,0.7770278942942488,0.8366850423809827,0.7990506551845489,0.7567232426567465
38,the audio sample had Entity features extracted and AudioFeature was determined to have a large impact on the FeedforwardNeuralNetwork Abstract that determined the sample to be Audiosignal......,0.9709900887340673,0.980527794452699,0.994570710619304,0.9890645132073708,0.9867943767943768
39,Yes AudioFeature which a shap value of -0.6521 was used to detect the sample as PhysicalAccess was detected by CNN......,0.7404848511285973,0.7174797589308025,0.9783766233766233,0.9412121212121212,0.9027253668763103
40,the audio sample had Entity features extracted and AudioFeature was determined to have a large impact on the FeedforwardNeuralNetwork Abstract that determined the sample to be Audiosignal......,0.9709900887340673,0.980527794452699,0.994570710619304,0.9890645132073708,0.9867943767943768
41,Yes AudioFeature which a shap value of 1 was used to detect the id of speaker 4 for the audio sample......,0.5518478999843224,0.5721425369624751,0.9657842890677397,0.8772657450076805,0.7793598969949186
42,The breathing irregularities and abrupt changes indicate the audio was Audiosignal was detected by CNN in this way.....,0.24247596156915002,0.31640038311369895,0.7769021381095683,0.5631175166371791,0.42939993139289145
43,the audio sample had Entity features extracted and AudioFeature was determined to have a large impact on the FeedforwardNeuralNetwork Abstract that determined the sample to be PhysicalAccess......,0.8423339048098806,0.8432159044607668,0.9805996392485812,0.943356870669972,0.9203545492081998
44,shap determined that the AudioFeature feature was one of the more important features by assigning it a value of 0.6262......,0.9599320983379502,0.9772317251482505,0.9847735182730197,0.9812537777178338,0.9742105870141853
45,Yes AudioFeature which a shap value of -0.0073 was used to detect the sample as PhysicalAccess was detected by CNN......,0.8511059213480054,0.8458978363891072,0.9786561264822135,0.956140350877193,0.9365503422942061
46,the audio sample had Entity features extracted and AudioFeature was determined to have a large impact on the FeedforwardNeuralNetwork Abstract that determined the sample to be Audiosignal......,0.9709900887340673,0.980527794452699,0.994570710619304,0.9890645132073708,0.9867943767943768
47,Yes AudioFeature which a shap value of 0.0536 was used to detect the sample as Audiosignal......,0.7858262582658793,0.8110917133532322,0.9615436586619668,0.8954798186769757,0.8569346171070309
48,The audio sample was found to be spoofed......,0.20381753043536627,0.16666561551119718,0.6509026252010238,0.3663461538461538,0.22856841336758665
49,Yes person 5 was detected by AudioFeature with a shap value of 0.4724......,0.839438530798953,0.8281953475530971,0.9191176470588236,0.8967975655702073,0.8680142602495543
50,Yes AudioFeature which a shap value of 0.9178 was used to detect the sample as Audiosignal......,0.7862151471547681,0.8007227342856954,0.9590363277093783,0.8880490670096082,0.8516017316017315
51,Yes AudioFeature which a shap value of 0.3733 was used to detect the sample as Audiosignal......,0.7858262582658794,0.8106138157097099,0.9593702764885845,0.8955297562550031,0.8570112258915048
52,Yes person 1 was detected by AudioFeature with a shap value of -0.9992......,0.7029367499691942,0.7049770632061694,0.7734723726977248,0.7342651924123187,0.6946750294320627
53,It looks like the recording was edited using software......,0.40914878473397176,0.43832269562410014,0.7921399000187784,0.6426671633451294,0.516219606331584
54,Yes AudioFeature which a shap value of -1 was used to detect the sample as PhysicalAccess was detected by CNN......,0.7154408286355952,0.7375314365934872,0.8975331369661266,0.8533019312293924,0.8170138888888889
55,Yes person 3 was detected by AudioFeature with a shap value of 0.2648......,0.7060479763109104,0.7395473714994643,0.8680331771136036,0.7760144680706919,0.7088420701208424
56,There is more than one area of synthesized AcousticWave......,0.30625328160211884,0.3232219886819889,0.816397948401344,0.5209731833886578,0.37602316602316604
57,Yes person 7 was detected by AudioFeature with a shap value of 0.6718......,0.7553739361969187,0.7316080079985621,0.8459109730848862,0.8086247419057242,0.762677747754659
58,Yes AudioFeature which a shap value of -0.8355 was used to detect the id of speaker 1 for the audio sample......,0.48356243893291084,0.5389970426874918,0.8763923814379491,0.7694121072812733,0.6717748917748917
59,Yes AudioFeature which a shap value of 0.5258 was used to detect the sample as Audiosignal......,0.7860207027103238,0.8081410497112721,0.9551435066780336,0.891332842058089,0.855093795093795
60,There were 2 microphones used......,0.5891144385026739,0.5038941434156655,0.7003797404621015,0.5444309812306962,0.4736368994989684
61,the audio sample had Entity features extracted and AudioFeature was determined to have a large impact on the FeedforwardNeuralNetwork Abstract that determined the sample to be PhysicalAccess......,0.8423339048098806,0.8421767479555694,0.9795687114135296,0.9423206012399202,0.9193128825415331
62,Yes AudioFeature which a shap value of 0.6636 was used to detect the sample as Audiosignal......,0.7858262582658793,0.8139540460401143,0.9615436586619666,0.8977270096882117,0.8614800716524854
63,Yes AudioFeature which a shap value of 0.6675 was used to detect the sample as Audiosignal......,0.7858262582658793,0.8145162351840893,0.9615436586619666,0.899999736960939,0.8614800716524854
64,Yes AudioFeature which a shap value of -0.9296 was used to detect the id of speaker 6 for the audio sample......,0.606038745043054,0.6523394419790103,0.8887000737456413,0.8100371072812733,0.7455041990445717
65,Yes person 3 was detected by AudioFeature with a shap value of -0.4878......,0.6013463215299911,0.610095447491993,0.8212009803921567,0.7148670484246761,0.629808981657179
66,the audio sample had Entity features extracted and AudioFeature was determined to have a large impact on the FeedforwardNeuralNetwork Abstract that determined the sample to be PhysicalAccess......,0.8423339048098806,0.8432159044607668,0.9805996392485812,0.943356870669972,0.9203545492081998
67,the audio sample had features extracted which were fed into a FeedforwardNeuralNetwork Abstract for detection of being Audiosignal or Audiosignal......,0.21745363235219325,0.30073027752786013,0.8381558673262509,0.6376218720903022,0.4611746953976025
68,The Interpreters values indicate the contribution of the features on the outcome of the classification Abstract......,0.9134801160008188,0.9427496272760767,1.0,1.0,0.9961150400754362
69,The audio sample was found to be bonafide......,0.5878432362528345,0.5339038164670479,0.8093406593406595,0.6189677419354839,0.5382771535580524
70,Yes AudioFeature which a shap value of -0.642 was used to detect the sample as PhysicalAccess was detected by CNN......,0.825964945946416,0.8674073976984582,0.9064456208786105,0.8751201130475742,0.8559537461773701
71,The audio uses multiple microphones......,0.03778966131907309,0.1717309951501876,0.608808535672958,0.3381071174014866,0.20179846297493356
72,Yes AudioFeature which a shap value of -1 was used to detect the sample as PhysicalAccess was detected by CNN......,0.7154408286355952,0.7375314365934872,0.8975331369661266,0.8533019312293924,0.8170138888888889
73,Yes AudioFeature which a shap value of -0.1297 was used to detect the sample as Audiosignal......,0.7700546729863322,0.8027510547641598,0.9656010230179028,0.8972609480072167,0.8571717171717171
74,shap determined that the AudioFeature feature was one of the more important features by assigning it a value of -0.7306......,0.6779704522736327,0.7106822838835566,0.8443763067568344,0.7692343406081118,0.7143487099535338
75,It appears there was voice cloning.....,0.1370994257664166,0.40955457797267136,0.7073820915926178,0.4973790651116232,0.3643782740556934
76,the audio sample had Entity features extracted and AudioFeature was determined to have a large impact on the FeedforwardNeuralNetwork Abstract that determined the sample to be PhysicalAccess......,0.8423722567713094,0.8531153399714043,0.9867852062588905,0.9526832955404384,0.931812882541533
77,No it is not a bona fide recording......,0.12871184822404336,0.3649416501674169,0.8378105590062113,0.6842996696886641,0.36319347319347317
78,The audio was Audiosignal was detected by CNN?,0.3817154059016281,0.3865088058727223,0.4587944872464996,0.4170777880262714,0.3644689161239783
79,Yes AudioFeature which a shap value of 0.3074 was used to detect the id of speaker 5 for the audio sample......,0.60993317731514,0.6549192288162795,0.960170423309511,0.8801182765418192,0.8006926406926407
80,The audio file was classified as being Audiosignal was detected by CNN by a MixtureModel Abstract.....,0.3031694845233164,0.42023752722887087,0.9488845689414948,0.7948276598372994,0.6914437042842214
81,Yes AudioFeature which a shap value of -0.5562 was used to detect the sample as PhysicalAccess was detected by CNN......,0.7072343714495462,0.7284776708062595,0.8973383317713214,0.8454231433506045,0.808628144654088
82,Yes AudioFeature which a shap value of -0.6016 was used to detect the id of speaker 2 for the audio sample......,0.6113602534208716,0.657076894469832,0.9707587382779199,0.8891805961625339,0.79315188762072
83,the audio sample had Entity features extracted and AudioFeature was determined to have a large impact on the FeedforwardNeuralNetwork Abstract that determined the sample to be Audiosignal......,0.9709900887340673,0.980527794452699,0.994570710619304,0.9890645132073708,0.9867943767943768
84,Yes AudioFeature which a shap value of -0.8842 was used to detect the sample as PhysicalAccess was detected by CNN......,0.8511059213480054,0.8511846999972745,0.9838735177865614,0.9614035087719298,0.9418600768074803
85,Yes AudioFeature which a shap value of 0.983 was used to detect the sample as Audiosignal......,0.7120418778939461,0.7438415063867282,0.9442501776830134,0.8378002127085417,0.7853128793731377
86,Yes person 2 was detected by AudioFeature with a shap value of -0.9056......,0.7599394985948813,0.7739412942832417,0.8366850423809827,0.7971089076117333,0.754762458343021
87,The audio uses multiple microphones......,0.03778966131907309,0.1717309951501876,0.608808535672958,0.3381071174014866,0.20179846297493356
88,Because the background noise changes too quickly to be natural......,0.08044343727724405,0.12170379992072748,0.7731052940009321,0.25917873126111113,0.08742144919983497
89,shap determined that the AudioFeature feature was one of the more important features by assigning it a value of -0.5786......,0.41308832320971867,0.5230113842745425,0.7263692886061307,0.5739626669859227,0.4702720019342359
90,the audio sample had Entity features extracted and AudioFeature was determined to have a large impact on the FeedforwardNeuralNetwork Abstract that determined the sample to be PhysicalAccess......,0.8423339048098806,0.8432159044607668,0.9805996392485812,0.943356870669972,0.9203545492081998
91,Yes AudioFeature which a shap value of -0.5419 was used to detect the sample as Audiosignal......,0.7700546729863322,0.8027510547641598,0.9656010230179028,0.8972609480072167,0.8571717171717171
92,Yes AudioFeature which a shap value of 0.5317 was used to detect the sample as PhysicalAccess was detected by CNN......,0.8260618988550034,0.8667192435926502,0.9030300313760644,0.8734933187892011,0.8561485988200591
93,Yes AudioFeature which a shap value of 0.7072 was used to detect the sample as PhysicalAccess was detected by CNN......,0.7404848511285973,0.7121928953226352,0.9731592320722754,0.9359489633173844,0.8974156323630359
94,Yes AudioFeature which a shap value of 0.3558 was used to detect the sample as PhysicalAccess was detected by CNN......,0.9699334487534627,0.9894262727836655,0.9895652173913044,0.9894736842105264,0.9893805309734514
95,the audio sample had Entity features extracted and AudioFeature was determined to have a large impact on the FeedforwardNeuralNetwork Abstract that determined the sample to be PhysicalAccess......,0.8423339048098806,0.8432159044607668,0.9805996392485812,0.943356870669972,0.9203545492081998
96,shap determined that the AudioFeature feature was one of the more important features by assigning it a value of -0.2953......,0.8244783409885551,0.8361537126485887,0.9279155764870051,0.881507508053693,0.853106884057971
97,shap determined that the AudioFeature feature was one of the more important features by assigning it a value of -0.373......,0.8723348853156876,0.845566612342207,0.9679652262476358,0.9475338848794227,0.9265824134805097
98,Yes AudioFeature which a shap value of 0 was used to detect the sample as PhysicalAccess was detected by CNN......,0.7154408286355952,0.7375314365934872,0.8975331369661266,0.8533019312293924,0.8170138888888889
99,the audio sample had Entity features extracted and AudioFeature was determined to have a large impact on the FeedforwardNeuralNetwork Abstract that determined the sample to be PhysicalAccess......,0.8423339048098806,0.8421767479555694,0.9795687114135296,0.9423206012399202,0.9193128825415331
100,person 6 was detected as the primary speaker of the audio sample......,0.5535104219389354,0.5499241765665022,0.9317381360777587,0.7899791799318799,0.6765285424514633
101,shap determined that the AudioFeature feature was one of the more important features by assigning it a value of -0.0131......,0.9599320983379502,0.9844412218311461,0.9932058525278865,0.9862953138815207,0.9792653673163418
102,The audio is a little faster between the five and ten second mark......,0.04873618654778985,0.08170398871929485,0.8564851035245772,0.49610369546409594,0.28294372294372294
103,Yes AudioFeature which a shap value of 0.5114 was used to detect the sample as PhysicalAccess was detected by CNN......,0.9699334487534627,0.9894262727836655,0.9895652173913044,0.9894736842105264,0.9893805309734514
104,Yes some of the recording was made with a mobile device and some with a computer.....,0.38298391117921565,0.3914105481411541,0.9743108837737994,0.8015390479541423,0.7253899286987522
105,Yes AudioFeature which a shap value of 0.8851 was used to detect the id of speaker 4 for the audio sample......,0.5518478999843224,0.5800553961575573,0.9676396394168346,0.8837694643664793,0.7912090807742981
106,Yes AudioFeature which a shap value of -0.5246 was used to detect the sample as PhysicalAccess was detected by CNN......,0.8511059213480054,0.8511846999972746,0.9838735177865612,0.9614035087719298,0.9418600768074803
107,Yes AudioFeature which a shap value of 0.0961 was used to detect the sample as Audiosignal......,0.7120418778939461,0.7490918358095682,0.9424836601307188,0.8408380632051011,0.7893423042820633
108,the audio sample had Entity features extracted and AudioFeature was determined to have a large impact on the FeedforwardNeuralNetwork Abstract that determined the sample to be Audiosignal......,0.9754782606058358,0.9670419124771211,0.974246674524144,0.9730181039669595,0.9717760617760618
109,yes AudioFeature was used to determine speaker id......,0.49852561844056975,0.509299651680576,0.9127095677736439,0.788762677484787,0.7260796221322537
110,Some of the recording was made using a computer......,0.41250293268712596,0.40740279370457,0.6683685479911895,0.4354202279202279,0.3544103333157162
111,Yes the recording is synthetic......,0.48853500041992104,0.39557186063758615,0.6219039983554322,0.47236286037521386,0.4080942366811932
112,shap determined that the AudioFeature feature was one of the more important features by assigning it a value of -0.8209......,0.5406606640752838,0.5941029603246919,0.7863489997888494,0.6590556304294017,0.5839941689141945
113,Yes AudioFeature which a shap value of -0.9437 was used to detect the sample as PhysicalAccess was detected by CNN......,0.9405014204873693,0.7595136373732005,0.7608593048608439,0.7599688849847708,0.7590712636956171
114,shap determined that the AudioFeature feature was one of the more important features by assigning it a value of -0.0117......,0.824478340988555,0.8375103362369474,0.9296394646515711,0.8849852563590277,0.8566148669086511
115,Yes person 1 was detected by AudioFeature with a shap value of 0.7825......,0.5154854586363673,0.5377769682913065,0.6891051385027288,0.5923046633793924,0.49862480192273423
116,Yes person 3 was detected by AudioFeature with a shap value of -0.3514......,0.7714121127725349,0.7532753615405132,0.8796811397557667,0.8300297301063779,0.7873242835595777
117,the audio sample had Entity features extracted and AudioFeature was determined to have a large impact on the FeedforwardNeuralNetwork Abstract that determined the sample to be PhysicalAccess......,0.8423339048098806,0.8432159044607668,0.9805996392485812,0.943356870669972,0.9203545492081998
118,The speed increases at the 20 second mark......,0.7538193965808466,0.8019263814671955,0.915890613451589,0.85375,0.8229942100909844
119,Yes AudioFeature which a shap value of 0.8985 was used to detect the id of speaker 5 for the audio sample......,0.4780896787443565,0.5596231530823473,0.9563794531897267,0.8495522388059701,0.7513833992094862
120,shap determined that the AudioFeature feature was one of the more important features by assigning it a value of -0.5116......,0.5411874276891451,0.6069073208908975,0.8014283648682146,0.6790518504256218,0.6014333494519665
121,Yes AudioFeature which a shap value of -0.2863 was used to detect the id of speaker 7 for the audio sample......,0.48424389596750317,0.5140157390140272,0.8848539198994875,0.7786645582616655,0.6736161616161616
122,Yes there was more than one CaptureDevice......,0.5136105360018404,0.5994960634534546,0.8548514580327942,0.7228571428571428,0.6082854400501458
123,Yes AudioFeature which a shap value of -0.1122 was used to detect the id of speaker 2 for the audio sample......,0.48360734162175534,0.5590540955405304,0.9563794531897267,0.8495522388059701,0.7513833992094862
124,Yes person 5 was detected by AudioFeature with a shap value of 0.289......,0.8526420255365386,0.8790976703433373,0.9153166207795971,0.8926916221033867,0.8675704493526275
125,The alterations are consistent with known programs.....,0.0810360914372959,0.09382990511729647,0.7283638882537687,0.2941250416250416,0.10613787457359565
126,Yes person 2 was detected by AudioFeature with a shap value of 0.4129......,0.8530159571604703,0.8747885306831668,0.9106669428334715,0.8882261369987786,0.8633186080756413
127,Yes the Audiosignal was detected by CNN recording was a synthetic recording......,0.7317954597474745,0.7115386898800219,0.974325043397856,0.9168289061211021,0.8635781762097551
128,Yes person 5 was detected by AudioFeature with a shap value of -0.3846......,0.839438530798953,0.8281953475530971,0.9191176470588236,0.8967975655702073,0.8680142602495543
129,The Interpreters values indicate the contribution of the features on the outcome of the classification Abstract......,0.9134801160008188,0.9427496272760767,1.0,1.0,0.9961150400754362
130,shap determined that the AudioFeature feature was one of the more important features by assigning it a value of 0.0476......,0.4178102469366052,0.5444960033964261,0.7708917057601268,0.6017033582780159,0.5009223431626583
131,Yes AudioFeature which a shap value of -0.7698 was used to detect the sample as PhysicalAccess was detected by CNN......,0.962504376794546,0.8940351485747329,0.8947826086956521,0.8942884116119896,0.8937893645858248
132,Yes AudioFeature which a shap value of -0.8808 was used to detect the sample as Audiosignal......,0.7700546729863322,0.8027510547641598,0.9656010230179028,0.8972609480072167,0.8571717171717171
133,Yes AudioFeature which a shap value of 1 was used to detect the id of speaker 3 for the audio sample......,0.6693302763965667,0.6538354686894711,0.9836414319248826,0.9167510976021613,0.8354838709677418
134,Yes AudioFeature which a shap value of 0.4647 was used to detect the sample as Audiosignal......,0.7858262582658793,0.8087647223071966,0.9614931536114616,0.8953764995500222,0.8567760547391663
135,shap determined that the AudioFeature feature was one of the more important features by assigning it a value of 0.6196......,0.9599320983379502,0.9770431277063973,0.9829494422714762,0.9810786914235191,0.9739730134932534
136,Yes AudioFeature which a shap value of -0.2422 was used to detect the sample as PhysicalAccess was detected by CNN......,0.9699334487534627,0.9894262727836655,0.9895652173913044,0.9894736842105264,0.9893805309734514
137,Yes AudioFeature which a shap value of 1 was used to detect the sample as Audiosignal......,0.6651473197898528,0.6783272636985127,0.8465692262943574,0.7546480484032229,0.7075602839411943
138,It shows signs of having been digitally manipulated......,0.09709430826696505,0.12794014569228282,0.7005309997007334,0.3103558941058941,0.0919448296274672
139,The audio sample had Entity and AudioFeature features extracted and passed through a trained ClassificationAlgorithm which determined the id of speaker 2......,0.7332978385020434,0.6966423127304264,0.9595505617977528,0.9260169491525424,0.9020120463382095
140,Yes AudioFeature which a shap value of -0.662 was used to detect the sample as PhysicalAccess was detected by CNN......,0.7404848511285972,0.7196151228940859,0.9783766233766233,0.9412121212121212,0.9027253668763103
141,It appears that part of the audio was sped up......,0.267671599033049,0.3165583616459976,0.6660322665651626,0.4333333333333333,0.2828128305331953
142,the audio sample had Entity features extracted and AudioFeature was determined to have a large impact on the FeedforwardNeuralNetwork Abstract that determined the sample to be PhysicalAccess......,0.8423339048098806,0.8432159044607668,0.9805996392485812,0.943356870669972,0.9203545492081998
143,Yes AudioFeature which a shap value of -0.7587 was used to detect the sample as PhysicalAccess was detected by CNN......,0.8436768493890888,0.7505067121801747,0.8838735177865613,0.8609550782786564,0.8409591759065794
144,the audio sample had Entity features extracted and AudioFeature was determined to have a large impact on the FeedforwardNeuralNetwork Abstract that determined the sample to be PhysicalAccess......,0.8423339048098806,0.8432159044607668,0.9805996392485812,0.943356870669972,0.9203545492081998
145,6 was found to be the id of the speaker in the sample......,0.6315803245917104,0.6531871580475158,0.9065786901270773,0.7751416183343657,0.6826156046400762
146,the audio sample had Entity features extracted and AudioFeature was determined to have a large impact on the FeedforwardNeuralNetwork Abstract that determined the sample to be Audiosignal......,0.9709900887340673,0.980527794452699,0.994570710619304,0.9890645132073708,0.9867943767943768
147,Yes person 6 was detected by AudioFeature with a shap value of -0.5773......,0.46519870767456395,0.5119149252116272,0.6973650975889781,0.5715929341150604,0.46860354398169524
148,Yes AudioFeature which a shap value of -0.2138 was used to detect the id of speaker 4 for the audio sample......,0.49464266737655294,0.5492705115058001,0.9529799849855582,0.8567909117514034,0.7425334864140835
149,Yes person 1 was detected by AudioFeature with a shap value of 0.8535......,0.7626704092589522,0.7871708408001173,0.860868109491052,0.818687776969656,0.7735639183209515
150,The recording is artificially slowed......,0.25615681488322994,0.41583506858703306,0.6204491552718647,0.4546666666666666,0.3456517140407717
151,Yes AudioFeature which a shap value of -0.3996 was used to detect the id of speaker 6 for the audio sample......,0.48424389596750317,0.5170642049556229,0.8848539198994875,0.7786645582616655,0.6835450153711023
152,Yes AudioFeature which a shap value of 0.8609 was used to detect the id of speaker 4 for the audio sample......,0.5518478999843224,0.5800553961575573,0.9676396394168346,0.8837694643664793,0.7912090807742981
153,It was altered using software......,0.3429906920665542,0.34045587157544643,0.593861737624058,0.41833624708624706,0.3033721962730501
154,No other spoof types were detected......,0.0,0.03152411366720263,0.5421753551326722,0.22206451612903227,0.034999999999999996
155,Yes AudioFeature which a shap value of -0.9158 was used to detect the id of speaker 1 for the audio sample......,0.5916561252142127,0.6562248915315119,0.9676011726467403,0.8845783947907521,0.7989256068463989
156,Yes AudioFeature which a shap value of -0.4135 was used to detect the sample as PhysicalAccess was detected by CNN......,0.8511059213480054,0.8511846999972745,0.9838735177865614,0.9614035087719298,0.9418600768074803
157,It has been PhysicalAccess was detected by CNN and re-recorded 3 times......,0.3936576524196318,0.6333575005143107,0.9151325757575759,0.7650861921829664,0.6854080955025847
158,Yes AudioFeature which a shap value of -0.3069 was used to detect the sample as Audiosignal......,0.7700546729863322,0.7809164628752184,0.9586242788318563,0.8807903597719227,0.8381240981240982
159,Yes AudioFeature which a shap value of 0.9205 was used to detect the id of speaker 4 for the audio sample......,0.5518478999843224,0.5800553961575573,0.9676396394168346,0.8837694643664793,0.7912090807742981
160,Yes AudioFeature which a shap value of -0.9499 was used to detect the sample as Audiosignal......,0.7698602285418877,0.8056359676183803,0.9719762062128222,0.9013568521031209,0.8589341692789969
161,The audio sample was PhysicalAccess was detected by CNN as well......,0.3363475192690365,0.41233833839251394,0.5407182864580782,0.4370390948815701,0.3767403269530929
162,The recording was faked using playback......,0.1907780131826742,0.27968045344527726,0.7104518372085333,0.4014531445565928,0.2608518998615995
163,Yes the Audiosignal was detected by CNN recording was a PhysicalAccess recording......,0.4743488486224564,0.5172686517078391,0.9754761904761905,0.859415978601038,0.7651472931736496
164,Yes AudioFeature which a shap value of 0.812 was used to detect the sample as PhysicalAccess was detected by CNN......,0.8260618988550034,0.8666722398145991,0.9029842647856755,0.8734467421706634,0.8561011904761905
165,Yes AudioFeature which a shap value of 0.4174 was used to detect the id of speaker 3 for the audio sample......,0.6657465562479656,0.6719932136550814,0.9771354623939128,0.926551546412637,0.8652549815775622
166,shap determined that the AudioFeature feature was one of the more important features by assigning it a value of 0.9284......,0.5595962119246412,0.6485905184532748,0.8082711019630524,0.6880331539377658,0.6108884776570946
167,the audio sample had Entity features extracted and AudioFeature was determined to have a large impact on the FeedforwardNeuralNetwork Abstract that determined the sample to be PhysicalAccess......,0.8423339048098806,0.8432159044607668,0.9805996392485812,0.943356870669972,0.9203545492081998
